DTNHM4988-22.COI-5P	k__Animalia; p__Chordata; c__Aplacophora; o__Not assigned; f__Chaetodermidae; g__Chaetoderma; s__nitidulum
OZIMP045-15.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
193085142	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__magnus
ENSI033-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__magnus
ENSI055-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__magnus
539369566	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__minor
539369568	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__minor
539369573	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__minor
539369577	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__minor
539369580	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__minor
539369594	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__minor
539369597	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__minor
539369614	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__minor
193085126	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
193085136	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
2868138540	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
ENSI004-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
ENSI012-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
ENSI034-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
ENSI036-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
ENSI037-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
ENSI040-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
ENSI042-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
ENSI043-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
ENSI044-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
ENSI045-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
ENSI052-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
ENSI066-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
ENSI067-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
ENSI069-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
ENSI088-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
ENSI093-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__siliqua
1430075764	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Phaxas; s__pellucidus
1430075813	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Phaxas; s__pellucidus
2868134277	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Phaxas; s__pellucidus
2868137984	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Phaxas; s__pellucidus
2868138657	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Phaxas; s__pellucidus
2868138829	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Phaxas; s__pellucidus
557883937	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Phaxas; s__pellucidus
908308489	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Phaxas; s__pellucidus
908308499	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Phaxas; s__pellucidus
908308511	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Phaxas; s__pellucidus
908308635	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Phaxas; s__pellucidus
