speciesName,status,SpecCode,validName,class,order,family,genus,commonName,commonSpecies,C_Code,country,database,databaseVersion
Scyliorhinus cannicula,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Scyllium canicula,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Scyllium caniculus,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Scyllium catulus,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Squalus canicula,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Squalus catulus,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Squalus elegans,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Scyliorhinus stellaris,accepted name,854,Scyliorhinus stellaris,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Nursehound,TRUE,056,Belgium,fishbase,24.07
Scyllium catulus,synonym,854,Scyliorhinus stellaris,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Nursehound,TRUE,056,Belgium,fishbase,24.07
Squalus stellaris,synonym,854,Scyliorhinus stellaris,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Nursehound,TRUE,056,Belgium,fishbase,24.07
Sphyrna zygaena,accepted name,917,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,Smooth hammerhead,TRUE,826,UK,fishbase,24.07
