speciesName,status,SpecCode,validName,class,order,family,genus,commonName,commonSpecies,C_Code,country,database,databaseVersion
Hexanchus corinus,synonym,637,Hexanchus griseus,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Bluntnose sixgill shark,TRUE,056,Belgium,fishbase,24.07
Hexanchus griseus australis,synonym,637,Hexanchus griseus,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Bluntnose sixgill shark,TRUE,056,Belgium,fishbase,24.07
Monopterinus griseus,synonym,637,Hexanchus griseus,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Bluntnose sixgill shark,TRUE,056,Belgium,fishbase,24.07
Notidanus griseus,synonym,637,Hexanchus griseus,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Bluntnose sixgill shark,TRUE,056,Belgium,fishbase,24.07
Notidanus monge,synonym,637,Hexanchus griseus,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Bluntnose sixgill shark,TRUE,056,Belgium,fishbase,24.07
Notidanus vulgaris,synonym,637,Hexanchus griseus,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Bluntnose sixgill shark,TRUE,056,Belgium,fishbase,24.07
Squalus griseus,synonym,637,Hexanchus griseus,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Bluntnose sixgill shark,TRUE,056,Belgium,fishbase,24.07
Squalus vacca,synonym,637,Hexanchus griseus,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Bluntnose sixgill shark,TRUE,056,Belgium,fishbase,24.07
Alopias vulpinus,accepted name,2535,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Thresher,TRUE,056,Belgium,fishbase,24.07
Alopecias barrae,synonym,2535,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Thresher,TRUE,056,Belgium,fishbase,24.07
Alopecias chilensis,synonym,2535,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Thresher,TRUE,056,Belgium,fishbase,24.07
Alopecias longimana,synonym,2535,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Thresher,TRUE,056,Belgium,fishbase,24.07
Alopecias vulpes,synonym,2535,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Thresher,TRUE,056,Belgium,fishbase,24.07
Alopias caudatus,synonym,2535,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Thresher,TRUE,056,Belgium,fishbase,24.07
Alopias greyi,synonym,2535,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Thresher,TRUE,056,Belgium,fishbase,24.07
Alopias macrourus,synonym,2535,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Thresher,TRUE,056,Belgium,fishbase,24.07
Alopias vulpes,synonym,2535,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Thresher,TRUE,056,Belgium,fishbase,24.07
Carcharias vulpes,synonym,2535,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Thresher,TRUE,056,Belgium,fishbase,24.07
Galeus vulpecula,synonym,2535,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Thresher,TRUE,056,Belgium,fishbase,24.07
Squalus alopecias,synonym,2535,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Thresher,TRUE,056,Belgium,fishbase,24.07
Squalus vulpes,synonym,2535,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Thresher,TRUE,056,Belgium,fishbase,24.07
Squalus vulpinus,synonym,2535,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Thresher,TRUE,056,Belgium,fishbase,24.07
Vulpecula marina,synonym,2535,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Thresher,TRUE,056,Belgium,fishbase,24.07
Cetorhinus maximus,accepted name,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Cetorhinus blainvillei,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Cetorhinus maccoyi,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Cetorhinus maximus f. infanuncula,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Cetorhinus maximus infanuncula,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Cetorhinus maximus normani,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Cetorhinus normani,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Cetorhinus rostratus,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Halsydrus maccoyi,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Halsydrus maximus,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Halsydrus pontoppidiani,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Polyprosopus macer,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Selache elephas,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Selache maxima,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Selache maximum,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Selache maximus,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Selachus pennantii,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Squalus cetaceus,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Squalus elephas,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Squalus gunnerianus,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Squalus homianus,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Squalus isodus,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Squalus maximus,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Squalus pelegrinus,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Squalus peregrinus,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Squalus rashleighanus,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
