source,dbid,taxon,action,note,barcode
GENBANK,384369555,Alopias vulpinus,REMOVE,Blasts as Carcharhinus obscurus & Carcharhinus galapagensis,coi.lerayxt
GENBANK,384369559,Cetorhinus maximus,REMOVE,Sativa: Grouped with Alopiidae,coi.lerayxt
GENBANK,384371926,Raja clavata,REMOVE,Blasts as Raja maderensis,coi.lerayxt
GENBANK,392973827,Dipturus batis,REMOVE,Blasts as Dipturus intermedia & Dipturus intermedius,coi.lerayxt
GENBANK,392974160,Raja clavata,REMOVE,Blasts as Raja maderensis,coi.lerayxt
GENBANK,392974252,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,392974254,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,392974256,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,392974258,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,392974260,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,392974410,Diplodus sargus,REMOVE,Blasts as Diplodus vulgaris,coi.lerayxt
GENBANK,392974611,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,392974613,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,392974615,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,392974617,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,392974619,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,392974783,Diplodus sargus,REMOVE,Blasts as Diplodus vulgaris,coi.lerayxt
GENBANK,392975021,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,392975023,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,392975025,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,392975027,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,392975029,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,392975031,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,399765387,Mugil cephalus,REMOVE,Sativa: Grouped with Chelon,coi.lerayxt
GENBANK,399765389,Mugil cephalus,REMOVE,Sativa: Grouped with Chelon,coi.lerayxt
GENBANK,399765391,Mugil cephalus,REMOVE,Sativa: Grouped with Chelon,coi.lerayxt
GENBANK,399765393,Mugil cephalus,REMOVE,Sativa: Grouped with Chelon,coi.lerayxt
GENBANK,399765395,Mugil cephalus,REMOVE,Sativa: Grouped with Chelon,coi.lerayxt
GENBANK,407315768,Mugil cephalus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,407315770,Mugil cephalus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,448258832,Diplodus sargus,REMOVE,Blasts as Dicentrarchus labrax,coi.lerayxt
GENBANK,448258834,Diplodus sargus,REMOVE,Blasts as Dicentrarchus labrax,coi.lerayxt
GENBANK,448258836,Diplodus sargus,REMOVE,Blasts as Dicentrarchus labrax,coi.lerayxt
GENBANK,448258840,Diplodus sargus,REMOVE,Blasts as Dicentrarchus labrax,coi.lerayxt
GENBANK,448258842,Diplodus sargus,REMOVE,Blasts as Dicentrarchus labrax,coi.lerayxt
GENBANK,459141477,Dicentrarchus labrax,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,460282677,Diplodus sargus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,460282989,Sparus aurata,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,460283033,Sparus aurata,REMOVE,Sativa: Grouped with Diplodus,coi.lerayxt
GENBANK,460283071,Sparus aurata,REMOVE,Sativa: Grouped with Diplodus,coi.lerayxt
GENBANK,460283151,Sparus aurata,REMOVE,Sativa: Grouped with Carangiformes,coi.lerayxt
GENBANK,460283153,Sparus aurata,REMOVE,Sativa: Grouped with Carangiformes,coi.lerayxt
GENBANK,460418954,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418956,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418958,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418960,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418962,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418964,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418966,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418968,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418970,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418972,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418974,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418976,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418978,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418980,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
